Category,libraryId,Author,Title,Editor / translator,Publisher,Publication year,Edition,ISBN,Language,Reference URL
Art,russin-01,"Russin, Robin U.; Downs, William Missouri",Screenplay: Writing the Picture,,,,,,,
Art,gombrich-01,"Gombrich, E. H.",Art and Illusion,,,,,,,
Art,gombrich-02,"Gombrich, E. H.",Symbolic Images,,,,,,,
Art,kleiner-01,"Kleiner, Fred S.",Gardner's Art Through the Ages: A Global History,,,,,,,
Art,mayer-01,"Mayer, Ralph",The Painter’s Craft,,,,,,,
Art,mccloud-01,"McCloud, Scott",Making Comics,,,,,,,
Art,robinson-01,"Robinson, Michael",The Pre-Raphaelites: Their Lives and Works in 500 Images,,,,,,,
Art,sutton-01,"Sutton, Daud",Designa,,,,,,,
Art,tarkovsky-01,"Tarkovsky, Andrey",Sculpting in Time: Reflections on the Cinema,"Hunter-Blair, Kitty (translator)",,,,,,
Art,tolstoy-01,"Tolstoy, Leo",What is Art?,,,,,,,
Esotericism,wong-01,,Cultivating the Energy of Life: A Translation of the Hui-Ming Ching and Its Commentaries,"Wong, Eva",,,,,,
Esotericism,copenhaver-01,,Hermetica: The Greek Corpus Hermeticum and the Latin Asclepius,"Copenhaver, Brian P. (translator and editor)",Cambridge University Press,1995,Reprint,9780521425438,en,https://www.cambridge.org/core/books/hermetica/A2779DE70B173114CC8669BEB3CF507D
Esotericism,agrippa-01,"Agrippa, Heinrich Cornelius",Three Books of Occult Philosophy,"Purdue, Eric (translator)",Inner Traditions,2021,First complete new English translation; three volumes in slipcase,9781644114162,en,https://www.innertraditions.com/books/three-books-of-occult-philosophy
Esotericism,andreev-01,"Andreev, Daniel",The Rose of the World,,,,,,,
Esotericism,arroyo-01,"Arroyo, Stephen",Chart Interpretation Handbook,,CRCS,,,,en,
Esotericism,atkinson-01,"Atkinson, William Walker",The Secret Doctrine of the Rosicrucians: A Lost Classic by Magus Incognito,,,,,,,
Esotericism,azize-01,"Azize, Joseph","Gurdjieff: Mysticism, Contemplation, and Exercises (Oxford Studies in Western Esotericism)",,,,,,,
Esotericism,bergier-01,"Bergier, Jacques and Pauwels, Louis","The Morning of the Magicians: Secret Societies, Conspiracies, and Vanished Civilizations",,,,,,,
Esotericism,bills-01,"Bills, Rex E.",The Rulership Book: A Directory of Astrological Correspondences,,American Federation of Astrologers,1971,2007 printing,9780866904315,en,
Esotericism,blavatsky-01,"Blavatsky, H. P.","The Secret Doctrine: The Synthesis of Science, Religion, and Philosophy (2-volume set)",,,,,,,
Esotericism,bolton-01,"Bolton, Robert",The Order of the Ages: The Hidden Laws of World History,,A.S.P.,,,,en,
Esotericism,brennan-01,"Brennan, Barbara",Hands of Light: A Guide to Healing Through the Human Energy Field,,,,,,,
Esotericism,brennan-02,"Brennan, Chris",Hellenistic Astrology: The Study of Fate and Fortune,,,,,,en,
Esotericism,christian-01,"Christian, Paul",The History and Practice of Magic,,Citadel,,,,en,
Esotericism,churton-01,"Churton, Tobias",The Lost Pillars of Enoch: When Science and Religion Were One,,,,,,,
Esotericism,clifford-01,"Clifford, Frank C.",The Midheaven: Spotlight on Success,,,,,,en,
Esotericism,de-pasqually-01,"de Pasqually, Martines",Treatise on the Reintegration of Beings,,,,,,,
Esotericism,elkington-01,"Elkington, David",The Ancient Language of Sacred Sound: The Acoustic Science of the Divine,"Houston, Jean; Watts, Robert (forewords)",Inner Traditions,2021,Revised and Expanded Edition,9781644111659,en,https://www.innertraditions.com/books/the-ancient-language-of-sacred-sound
Esotericism,encausse-01,"Encausse, Gérard",The Numerical Theosophy of Saint-Martin & Papus,,,,,,,
Esotericism,evola-01,"Evola, Julius",Eros and the Mysteries of Love: The Metaphysics of Sex,,,,,,,
Esotericism,evola-02,"Evola, Julius","Introduction to Magic, Volume II: The Path of Initiatic Wisdom",,,,,,,
Esotericism,evola-03,"Evola, Julius","Introduction to Magic, Volume III: Realizations of the Absolute Individual",,,,,,,
Esotericism,evola-04,"Evola, Julius",Introduction to Magic: Rituals and Practical Techniques for the Magus,,,,,,,
Esotericism,evola-05,"Evola, Julius",Metaphysics of Power,,,,,,,
Esotericism,evola-06,"Evola, Julius",Metaphysics of War,,,,,,,
Esotericism,evola-07,"Evola, Julius",Recognitions: Studies on Men and Problems from the Perspective of the Right,,,,,,,
Esotericism,evola-08,"Evola, Julius",Revolt Against the Modern World,,,,,,,
Esotericism,evola-09,"Evola, Julius",Ride the Tiger: A Survival Manual for the Aristocrats of the Soul,,,,,,,
Esotericism,evola-10,"Evola, Julius",The Bow and the Club,,,,,,,
Esotericism,evola-11,"Evola, Julius",The Doctrine of Awakening: The Attainment of Self-Mastery According to the Earliest Buddhist Texts,,,,,,,
Esotericism,evola-12,"Evola, Julius",The Hermetic Tradition: Symbols and Teachings of the Royal Art,,,,,,,
Esotericism,evola-13,"Evola, Julius",The Mystery of the Grail: Initiation and Magic in the Quest for the Spirit,,,,,,,
Esotericism,evola-14,"Evola, Julius",The Myth of the Blood: The Genesis of Racialism,,,,,,,
Esotericism,evola-15,"Evola, Julius","The Yoga of Power: Tantra, Shakti, and the Secret Way",,,,,,,
Esotericism,forrest-01,"Forrest, Steven",The Inner Sky,,Seven Paws Press,,,,en,
